,Keyword,Chi-Square,P-Value,Association
0,severe spinal,18.75404456003138,1.4870763400987619e-05,Significant
1,canal,16.04928258246929,6.171500535980565e-05,Significant
2,severe spinal canal,15.750648905957888,7.226314705366404e-05,Significant
3,tolerance,12.974048590851295,0.0003158383132956761,Significant
4,protrusion at,12.768472613576472,0.00035251055812008037,Significant
5,claudication,12.557292713983479,0.00039466309225727757,Significant
6,disc protrusion at,11.41089206809484,0.0007301476357650579,Significant
7,neurogenic,11.353234321092499,0.0007531669111634402,Significant
8,limits a,11.346530249818617,0.0007558906008759203,Significant
9,radicular symptoms,10.623698289304446,0.0011164753285293268,Significant
10,normal limits a,10.537417889691088,0.0011698173996266199,Significant
11,limits and,10.537417889691088,0.0011698173996266199,Significant
12,normal limits and,10.537417889691088,0.0011698173996266199,Significant
13,canal stenosis at,10.528866180365249,0.0011752429237325654,Significant
14,5 minutes,10.100998071994361,0.001481890447531731,Significant
15,radicular,9.675309101303208,0.001867608471338405,Significant
16,no pain,9.401887782749068,0.002167621434239622,Significant
17,spinal canal,9.064119167333374,0.002606740760774103,Significant
18,with right,8.754066927153755,0.0030891238370160624,Significant
19,2021,8.743092591082906,0.003107770034409818,Significant
20,neurogenic claudication,8.691874950692895,0.0031963165687950786,Significant
21,than 5,8.608495745716125,0.003345985345662185,Significant
22,with right l5,8.570041391913804,0.003417393866996011,Significant
23,right l5,8.45487987977569,0.0036406529312927784,Significant
24,only a,8.132029620016365,0.004349003636435035,Significant
25,canal and,8.132029620016365,0.004349003636435035,Significant
26,canal stenosis,8.0641561478208,0.004514949782226128,Significant
27,either,7.997728823080934,0.004683606028043474,Significant
28,than 5 minutes,7.884941527724223,0.004984808990883064,Significant
29,21,7.776579665244453,0.0052927913069310975,Significant
30,less than,7.744842692462882,0.005386615263274719,Significant
31,central,7.5602874854214495,0.0059668472865930956,Significant
32,presentation is,7.401400274713296,0.006517312598287243,Significant
33,walker,7.401400274713296,0.006517312598287243,Significant
34,clinical presentation is,7.401400274713296,0.006517312598287243,Significant
35,minute,7.27754763877382,0.006982179364525281,Significant
36,commensurate with right,7.245770432709779,0.007106821451287854,Significant
37,less than 5,7.1775048982090475,0.007382330288992389,Significant
38,current,7.010483782557002,0.008103378030004866,Significant
39,of right,6.984438777645076,0.008222143168827084,Significant
40,guha,6.899775540629749,0.008620657229556225,Significant
41,notwithstanding,6.727776376931667,0.00949228604786947,Significant
42,does not report,6.664310993225659,0.009836267723995774,Significant
43,no pain produced,6.624919647211597,0.010056167957616257,Significant
44,flexion or extension,6.624919647211597,0.010056167957616257,Significant
45,flexion or,6.624919647211597,0.010056167957616257,Significant
46,either flexion or,6.624919647211597,0.010056167957616257,Significant
47,with either flexion,6.624919647211597,0.010056167957616257,Significant
48,best,6.624919647211597,0.010056167957616257,Significant
49,referral,6.624919647211597,0.010056167957616257,Significant
50,or extension,6.624919647211597,0.010056167957616257,Significant
51,with either,6.624919647211597,0.010056167957616257,Significant
52,either flexion,6.624919647211597,0.010056167957616257,Significant
53,produced with either,6.624919647211597,0.010056167957616257,Significant
54,has a,6.482854123994026,0.01089199491539891,Significant
