,Keyword,Chi-Square,P-Value,Association
0,tone,0.3109391775841165,0.5771044395251901,Not Significant
1,telmisartan,0.027730329365850532,0.8677443925184667,Not Significant
2,bunion,0.0,1.0,Not Significant
3,eventually,0.027730329365850532,0.8677443925184667,Not Significant
4,decompression,0.0,1.0,Not Significant
5,km,0.23403653161881685,0.6285468203166699,Not Significant
6,rib,0.21472350309688032,0.6430900950553378,Not Significant
7,gastrointestinal,0.0,1.0,Not Significant
8,becoming,0.027730329365850532,0.8677443925184667,Not Significant
9,remaining,0.027730329365850532,0.8677443925184667,Not Significant
10,nothing,0.08388136974151478,0.7721048177986278,Not Significant
11,h,0.0,1.0,Not Significant
12,related,2.5814663451682813,0.108121460229356,Not Significant
13,worthwhile,0.027730329365850532,0.8677443925184667,Not Significant
14,xrays,0.0,1.0,Not Significant
15,resident,0.0,1.0,Not Significant
16,lamotrigine,0.0,1.0,Not Significant
17,review,0.040396623919821975,0.8407070862034036,Not Significant
18,junction,0.23403653161881685,0.6285468203166699,Not Significant
19,radiology,0.0,1.0,Not Significant
20,seizure,0.0,1.0,Not Significant
21,scleratogenous,0.0,1.0,Not Significant
22,29,0.0,1.0,Not Significant
23,life,0.12448420504253002,0.7242209955689425,Not Significant
24,requisitioning,0.030954846727423407,0.8603411623475206,Not Significant
25,visualized,0.0,1.0,Not Significant
26,since,1.2754288708026715,0.2587506926705204,Not Significant
27,duration,0.9134525187097302,0.3392000204390548,Not Significant
28,previous,1.4973294719920416,0.22108272391401357,Not Significant
29,rehab,0.027730329365850532,0.8677443925184667,Not Significant
30,problem,0.7888576816579786,0.37444576110523364,Not Significant
31,450,0.0,1.0,Not Significant
32,extensor,0.0,1.0,Not Significant
33,inversion,0.23403653161881685,0.6285468203166699,Not Significant
34,signal,0.0,1.0,Not Significant
35,young,0.0,1.0,Not Significant
36,possibly,0.1409721764832986,0.7073164438110074,Not Significant
37,radialis,0.0,1.0,Not Significant
38,abutment,1.4151049988777697,0.23421077955594474,Not Significant
39,expert,4.71881655175167e-05,0.9945190834096732,Not Significant
40,beat,0.23403653161881685,0.6285468203166699,Not Significant
41,lately,0.0,1.0,Not Significant
42,deficiency,0.0,1.0,Not Significant
43,intense,1.4973294719920416,0.22108272391401357,Not Significant
44,niagara,0.0,1.0,Not Significant
45,ducosate,0.0,1.0,Not Significant
46,prescribed,0.032625027502427045,0.8566627205208284,Not Significant
47,lasting,0.0,1.0,Not Significant
48,cll,0.0,1.0,Not Significant
49,chronicity,0.0037859527318370597,0.9509370465483541,Not Significant
50,find,0.0787161593134383,0.7790448295143095,Not Significant
51,guha,6.899775540629749,0.008620657229556225,Significant
52,hysterectomy,0.0,1.0,Not Significant
53,branch,0.10483178665310691,0.7461065886546258,Not Significant
54,abridged,0.0,1.0,Not Significant
55,kindly,0.0,1.0,Not Significant
56,report,6.355526931076833,0.011701618433561593,Significant
57,healthy,0.19902654114477547,0.6555077439181216,Not Significant
58,antalgic,0.7888576816579786,0.37444576110523364,Not Significant
59,radiofrequency,0.027730329365850532,0.8677443925184667,Not Significant
60,gn,0.0048547326337453865,0.9444516150675005,Not Significant
61,flexor,0.0,1.0,Not Significant
62,web,0.027730329365850532,0.8677443925184667,Not Significant
63,teach,0.027730329365850532,0.8677443925184667,Not Significant
64,offload,0.027730329365850532,0.8677443925184667,Not Significant
65,hypotension,0.0,1.0,Not Significant
66,levely,0.0,1.0,Not Significant
67,produced,1.2574538031174907,0.26213360173262085,Not Significant
68,discussion,0.9134525187097302,0.3392000204390548,Not Significant
69,62,0.0,1.0,Not Significant
70,proceed,0.0,1.0,Not Significant
71,epidural,0.0,1.0,Not Significant
72,recumbent,0.0,1.0,Not Significant
73,trillium,0.0,1.0,Not Significant
74,deteriorated,0.7888576816579786,0.37444576110523364,Not Significant
75,one,0.6046152145292298,0.43682251100746217,Not Significant
76,comment,0.37864633798136105,0.538328585103222,Not Significant
77,245,0.027730329365850532,0.8677443925184667,Not Significant
78,clonus,0.5030162593206299,0.4781777937319489,Not Significant
79,flossing,0.0,1.0,Not Significant
80,declining,0.7888576816579786,0.37444576110523364,Not Significant
81,shorter,4.71881655175167e-05,0.9945190834096732,Not Significant
82,persistence,0.08388136974151478,0.7721048177986278,Not Significant
