,Keyword,Chi-Square,P-Value,Association,OddsRatio
0,diagnostic,0.1409721764832986,0.7073164438110074,Not Significant,0.4714285714285714
1,clonazepam,0.0,1.0,Not Significant,0.7163120567375887
2,interscapular,0.0,1.0,Not Significant,inf
3,return,0.0,1.0,Not Significant,0.9183673469387755
4,roll,0.0,1.0,Not Significant,0.7163120567375887
5,bone,0.0,1.0,Not Significant,0.7142857142857143
6,waning,0.0,1.0,Not Significant,inf
7,mellitus,0.0,1.0,Not Significant,inf
8,lipomatosis,0.0,1.0,Not Significant,0.7163120567375887
9,elapsed,0.9134525187097302,0.33920002043905473,Not Significant,0.0
10,wheeled,0.23403653161881685,0.6285468203166699,Not Significant,inf
11,demineralization,0.0,1.0,Not Significant,inf
12,gerd,0.0,1.0,Not Significant,1.4428571428571428
13,state,0.0,1.0,Not Significant,1.4428571428571428
14,worsens,0.027730329365850532,0.8677443925184667,Not Significant,0.0
15,boiler,0.027730329365850532,0.8677443925184667,Not Significant,0.0
16,step,2.153327962786619,0.14226123442610056,Not Significant,0.0
17,raising,0.49040139738072613,0.4837483049037822,Not Significant,1.264516129032258
18,modic,0.0,1.0,Not Significant,1.4428571428571428
19,attend,1.7276901157389957,0.1887061601208717,Not Significant,1.683673469387755
20,anemia,0.0,1.0,Not Significant,inf
21,suggestive,0.25806906520474543,0.6114498469605114,Not Significant,0.5623188405797102
22,tsh,0.027730329365850532,0.8677443925184667,Not Significant,0.0
23,14,0.7139097561145417,0.3981489151668771,Not Significant,3.6861313868613137
24,essential,0.04842091715884885,0.8258341351679022,Not Significant,0.8677685950413223
25,however,0.08425507972332527,0.7716117871398922,Not Significant,0.7058823529411765
26,noted,0.9620872127709095,0.32666156569626575,Not Significant,0.5492537313432836
27,endomorphic,0.012884468659748462,0.9096264150998227,Not Significant,0.7101449275362319
28,required,5.169975012559934,0.022980546469240578,Significant,9.323076923076924
29,achy,0.0,1.0,Not Significant,inf
30,considered,0.08388136974151478,0.7721048177986278,Not Significant,0.3546099290780142
31,130,0.027730329365850532,0.8677443925184667,Not Significant,0.0
32,corner,0.027730329365850532,0.8677443925184667,Not Significant,0.0
33,although,4.71881655175167e-05,0.9945190834096732,Not Significant,1.4492753623188406
34,managing,0.0,1.0,Not Significant,0.7163120567375887
35,exposure,0.0,1.0,Not Significant,inf
36,acid,0.027730329365850532,0.8677443925184667,Not Significant,0.0
37,improved,2.2221702425506384,0.1360417075144915,Not Significant,0.34057971014492755
38,starting,0.23403653161881685,0.6285468203166699,Not Significant,inf
39,transitional,0.027730329365850532,0.8677443925184667,Not Significant,0.0
40,tramadol,0.0,1.0,Not Significant,0.7122302158273381
41,buspirone,0.0,1.0,Not Significant,inf
42,sle,0.058374426422790074,0.8090839213985223,Not Significant,0.8814928818776453
43,crossover,1.6682083476327643,0.19649868345728247,Not Significant,0.17375886524822695
44,slight,0.19902654114477547,0.6555077439181216,Not Significant,0.5287769784172662
45,coming,0.9134525187097302,0.33920002043905473,Not Significant,0.0
46,fascia,0.027730329365850532,0.8677443925184667,Not Significant,0.0
47,minimal,0.027730329365850532,0.8677443925184667,Not Significant,0.0
48,osteophyte,0.23403653161881685,0.6285468203166699,Not Significant,inf
49,used,0.0,1.0,Not Significant,1.2043795620437956
50,eczema,0.027730329365850532,0.8677443925184667,Not Significant,0.0
51,rabeprazole,0.7888576816579786,0.37444576110523364,Not Significant,inf
52,quitting,0.0,1.0,Not Significant,inf
53,free,5.046811383295369,0.024671299888822842,Significant,inf
54,joseph,0.0,1.0,Not Significant,0.8941605839416058
55,urinates,0.027730329365850532,0.8677443925184667,Not Significant,0.0
