,Keyword,Chi-Square,P-Value,Association
51,guha,6.899775540629749,0.008620657229556225,Significant
56,report,6.355526931076833,0.011701618433561593,Significant
141,despite,3.922504926718699,0.04764384013415869,Significant
173,walker,7.401400274713296,0.006517312598287243,Significant
183,functioning,3.935712070090333,0.04727112397529984,Significant
203,exam,5.533885732561905,0.018651638778055743,Significant
220,withstanding,5.223167621190797,0.022287917050714187,Significant
319,resisted,4.529965455400417,0.033306290034294306,Significant
369,current,7.010483782557002,0.008103378030004866,Significant
452,neurogenic,11.353234321092499,0.0007531669111634402,Significant
466,day,4.316137820748622,0.03775251578417004,Significant
497,notwithstanding,6.727776376931667,0.00949228604786947,Significant
565,required,5.169975012559934,0.022980546469240578,Significant
601,minute,7.27754763877382,0.006982179364525281,Significant
636,provocative,4.986830348560835,0.02554095212299779,Significant
678,ass,4.548524878935693,0.03294711955331394,Significant
902,grade,4.633662331475185,0.03135057487616439,Significant
979,either,7.997728823080934,0.004683606028043474,Significant
994,spinal,5.464091109369226,0.019411147393822537,Significant
1005,currently,5.223167621190797,0.022287917050714187,Significant
1041,examination,5.533885732561905,0.018651638778055743,Significant
1065,heaviness,5.169975012559934,0.022980546469240578,Significant
1092,list,3.9585525093520095,0.0466337874613458,Significant
1103,radicular,9.675309101303208,0.001867608471338405,Significant
1187,central,7.5602874854214495,0.0059668472865930956,Significant
1226,measure,4.823344392118102,0.028076817765754276,Significant
1602,referral,6.624919647211597,0.010056167957616257,Significant
1619,free,5.046811383295369,0.024671299888822842,Significant
1672,tolerance,12.974048590851295,0.0003158383132956761,Significant
1736,2021,8.743092591082906,0.003107770034409818,Significant
1738,21,7.776579665244453,0.0052927913069310975,Significant
1748,cyst,6.103201932787464,0.013493717018489131,Significant
1752,time,5.538185074499281,0.01860586909218578,Significant
1764,unremitting,5.046811383295369,0.024671299888822842,Significant
1801,protrusion,5.344020112953123,0.020793467314504707,Significant
2035,best,6.624919647211597,0.010056167957616257,Significant
2037,claudication,12.557292713983479,0.00039466309225727757,Significant
2047,spina,5.464091109369226,0.019411147393822537,Significant
2120,name,4.874028418604166,0.027263784810722606,Significant
2222,canal,16.04928258246929,6.171500535980565e-05,Significant
